Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality
P00036842,P00036842,Product,0,884,884,0,12214268,12214268,1,1,1,0,0,0.056611,0.000079,0,4216,3,200,0,0
P00249542,P00249542,Product,0,785,785,0,9238147,9238147,1,1,1,0,0,0.048106,0.000079,0,4312,0,65,0,0
P00220442,P00220442,Product,0,1282,1282,0,9291440,9291440,1,1,1,0,0,0.062304,0.000079,0,4496,0,1490,0,0
P00156442,P00156442,Product,0,835,835,0,6883285,6883285,1,1,1,0,0,0.049793,0.000079,0,4557,4,883,0,0
P00213742,P00213742,Product,0,351,351,0,2973748,2973748,1,1,1,0,0,0.024117,0.000079,0,4575,4,1184,0,0
P00214442,P00214442,Product,0,502,502,0,4020357,4020357,1,1,1,0,0,0.028531,0.000079,0,4613,0,255,0,0
P00303442,P00303442,Product,0,356,356,0,4010253,4010253,1,1,1,0,0,0.027202,0.000079,0,4624,4,885,0,0
P00135742,P00135742,Product,0,410,410,0,6317019,6317019,1,1,1,0,0,0.028824,0.000079,0,4651,4,181,0,0
P00039942,P00039942,Product,0,167,167,0,1191149,1191149,1,1,1,0,0,0.012426,0.000079,0,4663,1,2852,0,0
P00161442,P00161442,Product,0,503,503,0,3132982,3132982,1,1,1,0,0,0.035345,0.000079,0,4680,4,226,0,0
P00078742,P00078742,Product,0,282,282,0,1947027,1947027,1,1,1,0,0,0.017989,0.000079,0,4692,4,1572,0,0
P00085942,P00085942,Product,0,963,963,0,13325003,13325003,1,1,1,0,0,0.055265,0.000079,0,4787,1,137,0,0
P00118742,P00118742,Product,0,643,643,0,4773702,4773702,1,1,1,0,0,0.041805,0.000079,0,4831,1,6,0,0
P00297942,P00297942,Product,0,181,181,0,1449464,1449464,1,1,1,0,0,0.01315,0.000079,0,4839,1,675,0,0
P00266842,P00266842,Product,0,37,37,0,220463,220463,1,1,1,0,0,0.002994,0.000079,0,4841,1,2636,0,0
P00058342,P00058342,Product,0,281,281,0,2824411,2824411,1,1,1,0,0,0.020941,0.000079,0,4854,5,715,0,0
P00032442,P00032442,Product,0,231,231,0,1403610,1403610,1,1,1,0,0,0.020047,0.000079,0,4860,4,930,0,0
P00105942,P00105942,Product,0,221,221,0,1251861,1251861,1,1,1,0,0,0.019581,0.000079,0,4865,4,102,0,0
P00182642,P00182642,Product,0,400,400,0,4565985,4565985,1,1,1,0,0,0.029922,0.000079,0,4886,3,1531,0,0
P00186942,P00186942,Product,0,23,23,0,132930,132930,1,1,1,0,0,0.001926,0.000079,0,4887,5,2604,0,0
P00155442,P00155442,Product,0,424,424,0,4900506,4900506,1,1,1,0,0,0.030257,0.000079,0,4905,3,465,0,0
P00221342,P00221342,Product,0,383,383,0,4761458,4761458,1,1,1,0,0,0.03233,0.000079,0,4909,3,2628,0,0
P00087242,P00087242,Product,0,104,104,0,1479878,1479878,1,1,1,0,0,0.006234,0.000079,0,4917,1,2336,0,0
P00111142,P00111142,Product,0,1015,1015,0,16330240,16330240,1,1,1,0,0,0.060426,0.000079,0,4967,3,400,0,0
P00259342,P00259342,Product,0,836,836,0,5644652,5644652,1,1,1,0,0,0.055603,0.000079,0,4994,4,54,0,0
P0094542,P0094542,Product,0,174,174,0,1812848,1812848,1,1,1,0,0,0.014942,0.000079,0,4997,3,1265,0,0
P00148642,P00148642,Product,0,1204,1204,0,20816287,20816287,1,1,1,0,0,0.061498,0.000079,0,5099,1,785,0,0
P00312142,P00312142,Product,0,111,111,0,870989,870989,1,1,1,0,0,0.00839,0.000079,0,5101,1,996,0,0
P00113242,P00113242,Product,0,933,933,0,15701365,15701365,1,1,1,0,0,0.052208,0.000079,0,5163,1,194,0,0
P00192642,P00192642,Product,0,95,95,0,629564,629564,1,1,1,0,0,0.007942,0.000079,0,5165,4,516,0,0
P00110842,P00110842,Product,0,1281,1281,0,21390722,21390722,1,1,1,0,0,0.06866,0.000079,0,5228,2,60,0,0
P00189642,P00189642,Product,0,348,348,0,2609972,2609972,1,1,1,0,0,0.025865,0.000079,0,5239,1,1062,0,0
P00304242,P00304242,Product,0,170,170,0,2703644,2703644,1,1,1,0,0,0.011435,0.000079,0,5244,1,2634,0,0
P00365242,P00365242,Product,0,521,521,0,3861884,3861884,1,1,1,0,0,0.027275,0.000079,0,5286,0,231,0,0
P00129542,P00129542,Product,0,752,752,0,5699765,5699765,1,1,1,0,0,0.047901,0.000079,0,5296,4,156,0,0
P00140742,P00140742,Product,0,796,796,0,11323960,11323960,1,1,1,0,0,0.052565,0.000079,0,5316,3,320,0,0
P00182342,P00182342,Product,0,456,456,0,5746197,5746197,1,1,1,0,0,0.033289,0.000079,0,5325,3,680,0,0
P00276642,P00276642,Product,0,305,305,0,1833100,1833100,1,1,1,0,0,0.019016,0.000079,0,5341,0,211,0,0
P00334242,P00334242,Product,0,1093,1093,0,17397589,17397589,1,1,1,0,0,0.056825,0.000079,0,5399,0,204,0,0
P00247542,P00247542,Product,0,159,159,0,1002743,1002743,1,1,1,0,0,0.00983,0.000079,0,5403,0,2311,0,0
P00338442,P00338442,Product,0,731,731,0,9054374,9054374,1,1,1,0,0,0.039553,0.000079,0,5428,0,289,0,0
P00275142,P00275142,Product,0,169,169,0,828324,828324,1,1,1,0,0,0.009634,0.000079,0,5432,0,218,0,0
P00333042,P00333042,Product,0,183,183,0,1118894,1118894,1,1,1,0,0,0.011238,0.000079,0,5440,0,810,0,0
P00166242,P00166242,Product,0,89,89,0,620339,620339,1,1,1,0,0,0.007752,0.000079,0,5442,4,1940,0,0
P00161942,P00161942,Product,0,799,799,0,5529557,5529557,1,1,1,0,0,0.049474,0.000079,0,5453,4,224,0,0
P00348242,P00348242,Product,0,148,148,0,1099289,1099289,1,1,1,0,0,0.011592,0.000079,0,5456,4,2567,0,0
P00042142,P00042142,Product,0,388,388,0,4707626,4707626,1,1,1,0,0,0.029349,0.000079,0,5459,3,225,0,0
P00244242,P00244242,Product,0,181,181,0,1351634,1351634,1,1,1,0,0,0.015826,0.000079,0,5462,3,1935,0,0
P00217742,P00217742,Product,0,418,418,0,2181290,2181290,1,1,1,0,0,0.02515,0.000079,0,5468,0,2019,0,0
P00019342,P00019342,Product,0,330,330,0,4330757,4330757,1,1,1,0,0,0.023568,0.000079,0,5470,3,435,0,0
P00100642,P00100642,Product,0,428,428,0,3002806,3002806,1,1,1,0,0,0.028449,0.000079,0,5484,1,182,0,0
P00073842,P00073842,Product,0,936,936,0,12733508,12733508,1,1,1,0,0,0.057447,0.000079,0,5501,3,184,0,0
P00366542,P00366542,Product,0,361,361,0,2589317,2589317,1,1,1,0,0,0.021098,0.000079,0,5511,0,865,0,0
P00190742,P00190742,Product,0,321,321,0,3175013,3175013,1,1,1,0,0,0.022811,0.000079,0,5516,5,2361,0,0
P00151842,P00151842,Product,0,49,49,0,127031,127031,1,1,1,0,0,0.003004,0.000079,0,5519,5,1140,0,0
P00112642,P00112642,Product,0,509,509,0,7457867,7457867,1,1,1,0,0,0.031564,0.000079,0,5525,3,2139,0,0
P00118442,P00118442,Product,0,407,407,0,5997738,5997738,1,1,1,0,0,0.030608,0.000079,0,5529,3,855,0,0
P00034442,P00034442,Product,0,399,399,0,5366368,5366368,1,1,1,0,0,0.031017,0.000079,0,5532,3,228,0,0
P00222242,P00222242,Product,0,205,205,0,2697727,2697727,1,1,1,0,0,0.0176,0.000079,0,5534,3,449,0,0
P00118342,P00118342,Product,0,249,249,0,3215417,3215417,1,1,1,0,0,0.01647,0.000079,0,5540,3,557,0,0
P00324742,P00324742,Product,0,316,316,0,3824823,3824823,1,1,1,0,0,0.023167,0.000079,0,5542,3,2248,0,0
P00190042,P00190042,Product,0,465,465,0,4849309,4849309,1,1,1,0,0,0.031781,0.000079,0,5546,5,209,0,0
P0094142,P0094142,Product,0,78,78,0,135212,135212,1,1,1,0,0,0.006138,0.000079,0,5548,3,515,0,0
P00138542,P00138542,Product,0,600,600,0,4004773,4004773,1,1,1,0,0,0.041325,0.000079,0,5559,4,2016,0,0
P00158542,P00158542,Product,0,601,601,0,3977112,3977112,1,1,1,0,0,0.041102,0.000079,0,5565,4,290,0,0
P00157542,P00157542,Product,0,838,838,0,5927905,5927905,1,1,1,0,0,0.046455,0.000079,0,5585,4,122,0,0
P00044142,P00044142,Product,0,450,450,0,3165956,3165956,1,1,1,0,0,0.032062,0.000079,0,5588,4,1945,0,0
P00112542,P00112542,Product,0,1131,1131,0,18149037,18149037,1,1,1,0,0,0.063319,0.000079,0,5607,2,3,0,0
P00339542,P00339542,Product,0,264,264,0,3659229,3659229,1,1,1,0,0,0.020388,0.000079,0,5612,3,2739,0,0
P00127842,P00127842,Product,0,609,609,0,8700840,8700840,1,1,1,0,0,0.040517,0.000079,0,5617,3,1308,0,0
P00125942,P00125942,Product,0,725,725,0,10532571,10532571,1,1,1,0,0,0.045004,0.000079,0,5620,3,214,0,0
P00251342,P00251342,Product,0,302,302,0,1563862,1563862,1,1,1,0,0,0.025191,0.000079,0,5623,3,576,0,0
P00249642,P00249642,Product,0,721,721,0,7360205,7360205,1,1,1,0,0,0.043206,0.000079,0,5632,0,1668,0,0
P00124842,P00124842,Product,0,314,314,0,1689669,1689669,1,1,1,0,0,0.023641,0.000079,0,5635,1,1528,0,0
P00250642,P00250642,Product,0,672,672,0,3087362,3087362,1,1,1,0,0,0.036652,0.000079,0,5647,0,219,0,0
P00058142,P00058142,Product,0,404,404,0,4208783,4208783,1,1,1,0,0,0.029051,0.000079,0,5648,5,337,0,0
P00117442,P00117442,Product,0,1260,1260,0,8776729,8776729,1,1,1,0,0,0.071462,0.000079,0,5663,4,1205,0,0
P00251642,P00251642,Product,0,198,198,0,1674300,1674300,1,1,1,0,0,0.013148,0.000079,0,5664,3,428,0,0
P00244842,P00244842,Product,0,36,36,0,182844,182844,1,1,1,0,0,0.002939,0.000079,0,5665,1,2657,0,0
P00220242,P00220242,Product,0,317,317,0,3086184,3086184,1,1,1,0,0,0.019536,0.000079,0,5668,0,1301,0,0
P00351142,P00351142,Product,0,642,642,0,9282330,9282330,1,1,1,0,0,0.032157,0.000079,0,5689,0,1737,0,0
P00213242,P00213242,Product,0,636,636,0,4806610,4806610,1,1,1,0,0,0.037395,0.000079,0,5700,4,2692,0,0
P00195942,P00195942,Product,0,196,196,0,2064295,2064295,1,1,1,0,0,0.01592,0.000079,0,5701,5,2477,0,0
P00115642,P00115642,Product,0,717,717,0,6025872,6025872,1,1,1,0,0,0.041983,0.000079,0,5718,1,2794,0,0
P0098242,P0098242,Product,0,233,233,0,3091554,3091554,1,1,1,0,0,0.019028,0.000079,0,5720,3,1470,0,0
P00262242,P00262242,Product,0,419,419,0,5185966,5185966,1,1,1,0,0,0.024761,0.000079,0,5724,0,229,0,0
P00258742,P00258742,Product,0,964,964,0,6750536,6750536,1,1,1,0,0,0.054683,0.000079,0,5737,1,131,0,0
P00218242,P00218242,Product,0,138,138,0,706616,706616,1,1,1,0,0,0.014765,0.000079,0,5738,4,2232,0,0
P00021742,P00021742,Product,0,776,776,0,5426967,5426967,1,1,1,0,0,0.044266,0.000079,0,5744,0,1198,0,0
P00313042,P00313042,Product,0,255,255,0,1622287,1622287,1,1,1,0,0,0.020239,0.000079,0,5746,4,2768,0,0
P00133742,P00133742,Product,0,253,253,0,1549300,1549300,1,1,1,0,0,0.019364,0.000079,0,5747,4,1366,0,0
P00077042,P00077042,Product,0,97,97,0,417865,417865,1,1,1,0,0,0.009104,0.000079,0,5748,4,729,0,0
P00280542,P00280542,Product,0,57,57,0,225075,225075,1,1,1,0,0,0.005548,0.000079,0,5749,3,1367,0,0
P00225842,P00225842,Product,0,211,211,0,1517904,1517904,1,1,1,0,0,0.01869,0.000079,0,5750,3,2446,0,0
P00278942,P00278942,Product,0,174,174,0,2814515,2814515,1,1,1,0,0,0.012419,0.000079,0,5751,3,321,0,0
P00004742,P00004742,Product,0,597,597,0,9972155,9972155,1,1,1,0,0,0.042377,0.000079,0,5754,4,1169,0,0
P00198042,P00198042,Product,0,391,391,0,2303879,2303879,1,1,1,0,0,0.023523,0.000079,0,5768,1,2508,0,0
P00177442,P00177442,Product,0,471,471,0,7474803,7474803,1,1,1,0,0,0.030123,0.000079,0,5771,1,657,0,0
P00000642,P00000642,Product,0,512,512,0,7635578,7635578,1,1,1,0,0,0.03571,0.000079,0,5772,3,2417,0,0
P00288942,P00288942,Product,0,416,416,0,6184053,6184053,1,1,1,0,0,0.03125,0.000079,0,5774,1,1770,0,0
P00270942,P00270942,Product,0,1152,1152,0,16523735,16523735,1,1,1,0,0,0.067777,0.000079,0,5782,3,1696,0,0
P00345842,P00345842,Product,0,468,468,0,5265443,5265443,1,1,1,0,0,0.031069,0.000079,0,5783,3,842,0,0
P00032042,P00032042,Product,0,555,555,0,7341239,7341239,1,1,1,0,0,0.038571,0.000079,0,5784,3,1883,0,0
P00112342,P00112342,Product,0,289,289,0,245045,245045,1,1,1,0,0,0.018227,0.000079,0,5790,1,504,0,0
P00031842,P00031842,Product,0,191,191,0,1976242,1976242,1,1,1,0,0,0.015285,0.000079,0,5791,3,1215,0,0
P00346642,P00346642,Product,0,126,126,0,762430,762430,1,1,1,0,0,0.011137,0.000079,0,5793,4,236,0,0
P00205642,P00205642,Product,0,290,290,0,1759231,1759231,1,1,1,0,0,0.023894,0.000079,0,5796,4,1932,0,0
P00206442,P00206442,Product,0,248,248,0,2569232,2569232,1,1,1,0,0,0.020169,0.000079,0,5797,3,1484,0,0
P00046742,P00046742,Product,0,1438,1438,0,21152882,21152882,1,1,1,0,0,0.074518,0.000079,0,5814,2,2458,0,0
P00120042,P00120042,Product,0,902,902,0,14405476,14405476,1,1,1,0,0,0.056849,0.000079,0,5818,2,2583,0,0
P00043242,P00043242,Product,0,53,53,0,254028,254028,1,1,1,0,0,0.00486,0.000079,0,5819,3,303,0,0
P00057242,P00057242,Product,0,228,228,0,1175610,1175610,1,1,1,0,0,0.018966,0.000079,0,5820,4,2753,0,0
P00022842,P00022842,Product,0,89,89,0,345659,345659,1,1,1,0,0,0.008678,0.000079,0,5821,4,2750,0,0
P00252042,P00252042,Product,0,347,347,0,1917118,1917118,1,1,1,0,0,0.018991,0.000079,0,5823,0,1885,0,0
P00042242,P00042242,Product,0,280,280,0,1301321,1301321,1,1,1,0,0,0.022382,0.000079,0,5824,3,1950,0,0
P00059542,P00059542,Product,0,28,28,0,275298,275298,1,1,1,0,0,0.001967,0.000079,0,5825,5,823,0,0
P00021242,P00021242,Product,0,40,40,0,201587,201587,1,1,1,0,0,0.003389,0.000079,0,5826,4,2086,0,0
P00023042,P00023042,Product,0,184,184,0,1069174,1069174,1,1,1,0,0,0.014826,0.000079,0,5827,4,2367,0,0
P00144242,P00144242,Product,0,471,471,0,2824741,2824741,1,1,1,0,0,0.031992,0.000079,0,5832,4,1306,0,0
P00101342,P00101342,Product,0,365,365,0,6125709,6125709,1,1,1,0,0,0.025343,0.000079,0,5836,1,1504,0,0
P00289342,P00289342,Product,0,531,531,0,3396652,3396652,1,1,1,0,0,0.038686,0.000079,0,5837,4,2682,0,0
P00281742,P00281742,Product,0,115,115,0,918848,918848,1,1,1,0,0,0.006212,0.000079,0,5841,1,1657,0,0
P00266642,P00266642,Product,0,428,428,0,6251250,6251250,1,1,1,0,0,0.029093,0.000079,0,5845,3,2507,0,0
P00323742,P00323742,Product,0,144,144,0,1220088,1220088,1,1,1,0,0,0.010532,0.000079,0,5847,1,2743,0,0
P00116342,P00116342,Product,0,258,258,0,3530225,3530225,1,1,1,0,0,0.01731,0.000079,0,5850,1,2796,0,0
P00117142,P00117142,Product,0,374,374,0,5319666,5319666,1,1,1,0,0,0.024819,0.000079,0,5853,1,2198,0,0
P00084442,P00084442,Product,0,564,564,0,476715,476715,1,1,1,0,0,0.033599,0.000079,0,5862,1,1030,0,0
P00331542,P00331542,Product,0,155,155,0,1036912,1036912,1,1,1,0,0,0.010587,0.000079,0,5866,1,733,0,0
P00178942,P00178942,Product,0,835,835,0,5671453,5671453,1,1,1,0,0,0.050961,0.000079,0,5872,4,2156,0,0
P00026042,P00026042,Product,0,379,379,0,2584732,2584732,1,1,1,0,0,0.02413,0.000079,0,5876,4,1269,0,0
P00233542,P00233542,Product,0,636,636,0,9110600,9110600,1,1,1,0,0,0.042656,0.000079,0,5880,3,1287,0,0
P00127242,P00127242,Product,0,601,601,0,8239901,8239901,1,1,1,0,0,0.041811,0.000079,0,5882,3,495,0,0
P00349942,P00349942,Product,0,326,326,0,4393182,4393182,1,1,1,0,0,0.026494,0.000079,0,5884,3,2496,0,0
P00303342,P00303342,Product,0,594,594,0,8619458,8619458,1,1,1,0,0,0.041907,0.000079,0,5885,3,1430,0,0
P00051442,P00051442,Product,0,1249,1249,0,11186280,11186280,1,1,1,0,0,0.061713,0.000079,0,5899,1,1683,0,0
P00275642,P00275642,Product,0,230,230,0,1833052,1833052,1,1,1,0,0,0.013113,0.000079,0,5902,1,389,0,0
P00278642,P00278642,Product,0,1226,1226,0,8904533,8904533,1,1,1,0,0,0.058418,0.000079,0,5920,0,2313,0,0
P00322042,P00322042,Product,0,194,194,0,1313408,1313408,1,1,1,0,0,0.016272,0.000079,0,5922,1,344,0,0
P00216342,P00216342,Product,0,943,943,0,9814709,9814709,1,1,1,0,0,0.048753,0.000079,0,5927,0,2003,0,0
P00329342,P00329342,Product,0,196,196,0,1101220,1101220,1,1,1,0,0,0.017264,0.000079,0,5928,4,2809,0,0
P00332342,P00332342,Product,0,183,183,0,1167735,1167735,1,1,1,0,0,0.011571,0.000079,0,5930,0,1575,0,0
P00111742,P00111742,Product,0,689,689,0,11933782,11933782,1,1,1,0,0,0.044225,0.000079,0,5934,1,2400,0,0
P00293742,P00293742,Product,0,191,191,0,1503772,1503772,1,1,1,0,0,0.013584,0.000079,0,5935,1,1731,0,0
P00032842,P00032842,Product,0,384,384,0,2947916,2947916,1,1,1,0,0,0.02812,0.000079,0,5937,4,1653,0,0
P00216142,P00216142,Product,0,564,564,0,8080773,8080773,1,1,1,0,0,0.03922,0.000079,0,5940,3,709,0,0
P00001642,P00001642,Product,0,354,354,0,2674356,2674356,1,1,1,0,0,0.026086,0.000079,0,5941,4,1020,0,0
P00351842,P00351842,Product,0,171,171,0,1040863,1040863,1,1,1,0,0,0.013654,0.000079,0,5944,1,2262,0,0
P00145442,P00145442,Product,0,750,750,0,5616960,5616960,1,1,1,0,0,0.047405,0.000079,0,5945,3,1765,0,0
P00344242,P00344242,Product,0,338,338,0,2854337,2854337,1,1,1,0,0,0.02158,0.000079,0,5949,1,2700,0,0
P00327242,P00327242,Product,0,383,383,0,2713817,2713817,1,1,1,0,0,0.025868,0.000079,0,5951,1,2219,0,0
P00241142,P00241142,Product,0,78,78,0,628734,628734,1,1,1,0,0,0.005589,0.000079,0,5953,1,2213,0,0
P00219242,P00219242,Product,0,291,291,0,677122,677122,1,1,1,0,0,0.019636,0.000079,0,5954,1,1591,0,0
P00057342,P00057342,Product,0,359,359,0,801034,801034,1,1,1,0,0,0.027035,0.000079,0,5955,4,1274,0,0
P00165742,P00165742,Product,0,262,262,0,2006101,2006101,1,1,1,0,0,0.019779,0.000079,0,5956,1,973,0,0
P00154642,P00154642,Product,0,576,576,0,4393800,4393800,1,1,1,0,0,0.041279,0.000079,0,5957,4,939,0,0
P00192942,P00192942,Product,0,316,316,0,2100715,2100715,1,1,1,0,0,0.025033,0.000079,0,5958,4,584,0,0
P00247042,P00247042,Product,0,407,407,0,2598689,2598689,1,1,1,0,0,0.027138,0.000079,0,5959,4,327,0,0
P00150542,P00150542,Product,0,643,643,0,4358972,4358972,1,1,1,0,0,0.041352,0.000079,0,5960,4,2476,0,0
P00347142,P00347142,Product,0,188,188,0,1048528,1048528,1,1,1,0,0,0.015313,0.000079,0,5961,4,427,0,0
P00326742,P00326742,Product,0,513,513,0,2973641,2973641,1,1,1,0,0,0.036886,0.000079,0,5962,4,2137,0,0
P00330442,P00330442,Product,0,266,266,0,1765049,1765049,1,1,1,0,0,0.015575,0.000079,0,5966,0,1827,0,0
P00327842,P00327842,Product,0,436,436,0,3286410,3286410,1,1,1,0,0,0.024163,0.000079,0,5969,0,1433,0,0
P00218342,P00218342,Product,0,220,220,0,1134913,1134913,1,1,1,0,0,0.019058,0.000079,0,5970,4,1153,0,0
P00259042,P00259042,Product,0,202,202,0,1025985,1025985,1,1,1,0,0,0.018187,0.000079,0,5971,4,1067,0,0
P00102542,P00102542,Product,0,169,169,0,1322544,1322544,1,1,1,0,0,0.012852,0.000079,0,5972,1,2820,0,0
P00121142,P00121142,Product,0,442,442,0,3469457,3469457,1,1,1,0,0,0.035564,0.000079,0,5974,4,2221,0,0
P00228242,P00228242,Product,0,181,181,0,1213007,1213007,1,1,1,0,0,0.015949,0.000079,0,5975,4,1349,0,0
P00309542,P00309542,Product,0,27,27,0,162015,162015,1,1,1,0,0,0.001751,0.000079,0,5976,1,1517,0,0
P00106742,P00106742,Product,0,491,491,0,5951551,5951551,1,1,1,0,0,0.027025,0.000079,0,5977,1,2396,0,0
P00102642,P00102642,Product,0,1246,1246,0,3477449,3477449,1,1,1,0,0,0.066562,0.000079,0,5984,5,1988,0,0
P00127442,P00127442,Product,0,536,536,0,7164920,7164920,1,1,1,0,0,0.035195,0.000079,0,5985,3,415,0,0
P00345642,P00345642,Product,0,349,349,0,3958540,3958540,1,1,1,0,0,0.025678,0.000079,0,5986,3,458,0,0
P00357842,P00357842,Product,0,134,134,0,651202,651202,1,1,1,0,0,0.00872,0.000079,0,5987,0,757,0,0
P00115342,P00115342,Product,0,372,372,0,2695999,2695999,1,1,1,0,0,0.020387,0.000079,0,5989,1,2335,0,0
P00174442,P00174442,Product,0,728,728,0,5014145,5014145,1,1,1,0,0,0.046179,0.000079,0,5991,4,2161,0,0
P00282642,P00282642,Product,0,463,463,0,3139130,3139130,1,1,1,0,0,0.035574,0.000079,0,5993,4,2043,0,0
P00037142,P00037142,Product,0,753,753,0,10682448,10682448,1,1,1,0,0,0.050261,0.000079,0,5995,3,1892,0,0
P00192042,P00192042,Product,0,630,630,0,3816452,3816452,1,1,1,0,0,0.043064,0.000079,0,5997,4,2521,0,0
P00197542,P00197542,Product,0,152,152,0,909242,909242,1,1,1,0,0,0.012127,0.000079,0,5998,4,441,0,0
P00048742,P00048742,Product,0,446,446,0,2720810,2720810,1,1,1,0,0,0.032663,0.000079,0,5999,4,762,0,0
P00110142,P00110142,Product,0,152,152,0,2707531,2707531,1,1,1,0,0,0.011141,0.000079,0,6002,1,1493,0,0
P00120842,P00120842,Product,0,404,404,0,3407665,3407665,1,1,1,0,0,0.024946,0.000079,0,6006,1,2479,0,0
P00267742,P00267742,Product,0,144,144,0,878454,878454,1,1,1,0,0,0.010865,0.000079,0,6008,4,2386,0,0
P00086442,P00086442,Product,0,966,966,0,7787977,7787977,1,1,1,0,0,0.055117,0.000079,0,6017,1,2405,0,0
P00331842,P00331842,Product,0,207,207,0,3355088,3355088,1,1,1,0,0,0.015764,0.000079,0,6018,1,2777,0,0
P00288642,P00288642,Product,0,451,451,0,6881090,6881090,1,1,1,0,0,0.028724,0.000079,0,6022,4,1084,0,0
P00318742,P00318742,Product,0,759,759,0,10887117,10887117,1,1,1,0,0,0.047787,0.000079,0,6023,4,313,0,0
P00028442,P00028442,Product,0,418,418,0,5332834,5332834,1,1,1,0,0,0.032615,0.000079,0,6024,3,1457,0,0
P00208342,P00208342,Product,0,356,356,0,4963228,4963228,1,1,1,0,0,0.02757,0.000079,0,6025,3,1719,0,0
P00277442,P00277442,Product,0,657,657,0,8876491,8876491,1,1,1,0,0,0.045349,0.000079,0,6026,3,1822,0,0
P00085242,P00085242,Product,0,900,900,0,7919402,7919402,1,1,1,0,0,0.046528,0.000079,0,6030,1,1283,0,0
P00279442,P00279442,Product,0,353,353,0,4987723,4987723,1,1,1,0,0,0.019385,0.000079,0,6032,0,2734,0,0
P00235242,P00235242,Product,0,86,86,0,517725,517725,1,1,1,0,0,0.004871,0.000079,0,6034,0,1811,0,0
P00251542,P00251542,Product,0,269,269,0,993439,993439,1,1,1,0,0,0.017588,0.000079,0,6037,0,1794,0,0
P00003242,P00003242,Product,0,844,844,0,6572810,6572810,1,1,1,0,0,0.053978,0.000079,0,6039,3,2721,0,0
P00221542,P00221542,Product,0,549,549,0,3447517,3447517,1,1,1,0,0,0.039417,0.000079,0,6041,3,1452,0,0
P00142142,P00142142,Product,0,708,708,0,8360870,8360870,1,1,1,0,0,0.044907,0.000079,0,6043,3,1110,0,0
P00044442,P00044442,Product,0,1111,1111,0,17639576,17639576,1,1,1,0,0,0.065683,0.000079,0,6044,2,987,0,0
P00147742,P00147742,Product,0,573,573,0,8113698,8113698,1,1,1,0,0,0.037865,0.000079,0,6045,3,10,0,0
P00030942,P00030942,Product,0,363,363,0,822512,822512,1,1,1,0,0,0.026426,0.000079,0,6046,4,1200,0,0
P00288042,P00288042,Product,0,281,281,0,2298302,2298302,1,1,1,0,0,0.018201,0.000079,0,6047,1,1309,0,0
P00313142,P00313142,Product,0,278,278,0,2251803,2251803,1,1,1,0,0,0.019549,0.000079,0,6048,1,1693,0,0
