Id,Label,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,eigencentrality,clustering,triangles
Number Tile Cottage Garden 3,Number Tile Cottage Garden 3,Product,2,102,3,0.444444,0.541667,0,0,0,0.000282,4,2,190,0.000036,1,1
Embroidered Ribbon Reel Ruby,Embroidered Ribbon Reel Ruby,Product,18,1766,5,0.351797,0.367455,0,0.000225,0.000225,0.000092,0,24,392,0.004044,1,153
Gift Bag Birthday,Gift Bag Birthday,Product,179,16039,4,0.492028,0.517791,0.00005,0.009363,0.009363,0.000215,0,6,106,0.160424,0.672651,10716
Glamorous Mug,Glamorous Mug,Product,159,18738,4,0.493416,0.516266,0.000033,0.010155,0.010155,0.00023,0,18,30,0.172738,0.783934,9847
Pack Of 12 Sticky Bunnies,Pack Of 12 Sticky Bunnies,Product,257,19963,4,0.506273,0.537108,0.000127,0.014924,0.014924,0.00026,0,6,445,0.255173,0.702547,23111
Pink Floral Feltcraft Shoulder Bag,Pink Floral Feltcraft Shoulder Bag,Product,204,19302,4,0.492305,0.521254,0.000042,0.012941,0.012941,0.000221,0,7,822,0.219747,0.800831,16582
Trellis Coat Rack,Trellis Coat Rack,Product,23,1363,5,0.451618,0.468509,0,0.00165,0.00165,0.000067,0,3,83,0.028183,1,253
Fancy Fonts Birthday Wrap,Fancy Fonts Birthday Wrap,Product,467,77530,4,0.528617,0.577488,0.000665,0.025816,0.025816,0.000735,0,21,344,0.439262,0.618413,67002
Denim Patch Purse Pink Butterfly,Denim Patch Purse Pink Butterfly,Product,40,2538,5,0.454987,0.473211,0,0.001754,0.001754,0.000088,0,6,317,0.030617,0.984615,768
Star T-Light Holder Willie Winkie,Star T-Light Holder Willie Winkie,Product,255,22227,4,0.498764,0.531738,0.000038,0.01509,0.01509,0.000248,0,24,897,0.256449,0.769506,24725
T-Light Holder Hanging Lace,T-Light Holder Hanging Lace,Product,20,1430,5,0.458006,0.472894,0,0.001275,0.001275,0.000071,0,18,603,0.021908,0.863158,164
Empire Union Jack Tv Dinner Tray,Empire Union Jack Tv Dinner Tray,Product,42,2590,5,0.467641,0.482997,0.000001,0.002723,0.002723,0.000082,0,24,373,0.046698,0.905923,780
Feltcraft Christmas Fairy,Feltcraft Christmas Fairy,Product,376,47014,4,0.514515,0.557599,0.000069,0.022107,0.022107,0.000439,0,24,480,0.37475,0.706156,49784
Stripey Chocolate Nesting Boxes,Stripey Chocolate Nesting Boxes,Product,52,3268,5,0.473551,0.488683,0.000002,0.004364,0.004364,0.000084,0,8,473,0.074739,0.959276,1272
Set/20 Red Retrospot Paper Napkins,Set/20 Red Retrospot Paper Napkins,Product,1355,310223,4,0.661872,0.753812,0.007017,0.053257,0.053257,0.002912,0,3,575,0.909126,0.286129,262476
Red Retrospot Wrap,Red Retrospot Wrap,Product,663,113742,4,0.553726,0.616787,0.001164,0.033997,0.033997,0.001057,0,21,672,0.577588,0.520722,114274
Set Of 20 Vintage Christmas Napkins,Set Of 20 Vintage Christmas Napkins,Product,1051,220909,4,0.611993,0.694656,0.002836,0.047279,0.047279,0.002009,0,24,602,0.80394,0.385567,212746
Christmas Hanging Tree With Bell,Christmas Hanging Tree With Bell,Product,188,20505,4,0.495092,0.52081,0.000062,0.010141,0.010141,0.000261,0,24,100,0.172847,0.681306,11976
Ping! Microwave Plate,Ping! Microwave Plate,Product,64,3703,5,0.472783,0.489573,0,0.004916,0.004916,0.000087,0,24,384,0.083631,0.999504,2015
Fawn Blue Hot Water Bottle,Fawn Blue Hot Water Bottle,Product,785,107740,4,0.574212,0.642966,0.000722,0.039883,0.039883,0.000978,0,3,208,0.677005,0.501869,154435
Christmas Card Screen Print,Christmas Card Screen Print,Product,77,6639,4,0.47544,0.493169,0.00001,0.004719,0.004719,0.000122,0,24,412,0.080446,0.814081,2382
Wicker Wreath Large,Wicker Wreath Large,Product,78,6150,5,0.475353,0.49329,0.000002,0.005205,0.005205,0.000111,0,18,656,0.088647,0.887113,2664
Red Retrospot Tea Cup And Saucer,Red Retrospot Tea Cup And Saucer,Product,55,4206,5,0.469819,0.486428,0.000026,0.003191,0.003191,0.000103,0,3,74,0.054757,0.719192,1068
Assorted Tutti Frutti Bracelet,Assorted Tutti Frutti Bracelet,Product,554,51539,4,0.545096,0.598106,0.001241,0.026541,0.026541,0.000626,0,6,840,0.453703,0.500108,76607
Fairy Cakes Notebook A7 Size,Fairy Cakes Notebook A7 Size,Product,442,40924,4,0.530864,0.575867,0.000469,0.024924,0.024924,0.000461,0,6,673,0.424317,0.634192,61809
Set/4 Spring Flower Decoration,Set/4 Spring Flower Decoration,Product,163,14188,4,0.490189,0.514487,0.000098,0.006785,0.006785,0.00023,0,6,299,0.117317,0.576839,7616
Vintage Seaside Jigsaw Puzzles,Vintage Seaside Jigsaw Puzzles,Product,101,6768,4,0.487365,0.504638,0.000005,0.006924,0.006924,0.000118,0,7,822,0.118432,0.860396,4345
Tea Time Oven Glove,Tea Time Oven Glove,Product,465,49356,4,0.534869,0.580951,0.000422,0.026764,0.026764,0.000504,0,3,64,0.454427,0.652373,70378
A4 Wall Tidy Blue Office,A4 Wall Tidy Blue Office,Product,10,535,5,0.428315,0.447477,0.000002,0.000521,0.000521,0.000071,0,18,677,0.008909,0.644444,29
Ribbon Reel Polkadots,Ribbon Reel Polkadots,Product,221,24657,4,0.496686,0.526306,0.00003,0.013949,0.013949,0.000258,0,3,424,0.236964,0.789675,19197
Rocking Horse Green Christmas,Rocking Horse Green Christmas,Product,336,31436,4,0.515831,0.553247,0.000025,0.02145,0.02145,0.000315,0,24,201,0.363536,0.816311,45942
Mixed Nuts Light Green Bowl,Mixed Nuts Light Green Bowl,Product,102,8902,5,0.477952,0.498437,0.000062,0.003534,0.003534,0.000185,0,6,38,0.062075,0.709959,3657
Hen House Decoration,Hen House Decoration,Product,90,7129,5,0.476909,0.495991,0.000747,0.00503,0.00503,0.000173,0,18,167,0.086349,0.727341,2913
Ninja Rabbit Black,Ninja Rabbit Black,Product,21,1322,5,0.45665,0.471921,0.000014,0.001169,0.001169,0.000094,0,6,904,0.020188,0.790476,166
Poppy's Playhouse Livingroom,Poppy's Playhouse Livingroom,Product,420,40820,4,0.523135,0.568242,0.000146,0.025327,0.025327,0.000399,0,7,108,0.429495,0.718275,63201
Love Heart Trinket Pot,Love Heart Trinket Pot,Product,209,18168,4,0.497723,0.525512,0.001017,0.008868,0.008868,0.000319,0,6,259,0.152414,0.450957,9802
Greeting Card Overcrowded Pool,Greeting Card Overcrowded Pool,Product,55,3696,4,0.46433,0.482304,0.000001,0.002775,0.002775,0.000097,0,6,757,0.047898,0.912458,1355
Christmas Metal Postcard With Bells,Christmas Metal Postcard With Bells,Product,534,66882,4,0.53761,0.591339,0.000333,0.02845,0.02845,0.000653,0,24,552,0.483289,0.585064,83261
Garden Path Journal,Garden Path Journal,Product,7,439,5,0.398632,0.418452,0.000744,0.000204,0.000204,0.000155,0,6,98,0.003574,0.333333,7
Black Love Bird Candle,Black Love Bird Candle,Product,107,7493,5,0.472442,0.495006,0.000007,0.003796,0.003796,0.00015,0,6,360,0.066549,0.841121,4770
Traditional Knitting Nancy,Traditional Knitting Nancy,Product,1029,151399,4,0.608444,0.690272,0.001231,0.048535,0.048535,0.001352,0,7,764,0.824232,0.420319,222309
Set/6 Purple Butterfly T-Lights,Set/6 Purple Butterfly T-Lights,Product,145,11459,5,0.489457,0.51178,0.000011,0.00973,0.00973,0.000159,0,1,280,0.165507,0.841188,8782
Silver Plate Candle Bowl Small,Silver Plate Candle Bowl Small,Product,5,330,5,0.438776,0.455293,0.000006,0.000329,0.000329,0.000074,0,18,418,0.005688,0.6,6
Drawer Knob Ceramic Black,Drawer Knob Ceramic Black,Product,85,10328,5,0.471,0.491066,0.000009,0.004504,0.004504,0.000153,0,18,374,0.076774,0.752661,2687
Party Cones Carnival Assorted,Party Cones Carnival Assorted,Product,4,373,5,0.390037,0.409048,0,0.000168,0.000168,0.000061,0,3,376,0.002883,1,6
Dolly Girl Childrens Cup,Dolly Girl Childrens Cup,Product,403,63202,4,0.52199,0.565637,0.000065,0.023978,0.023978,0.000557,0,3,430,0.406886,0.717825,58146
Rainbow Pegs Photo Clip String,Rainbow Pegs Photo Clip String,Product,40,3814,5,0.437094,0.458788,0.000007,0.001292,0.001292,0.000115,0,18,370,0.022384,0.689744,538
Ivory Kitchen Scales,Ivory Kitchen Scales,Product,487,46719,4,0.535962,0.584382,0.00019,0.028446,0.028446,0.000463,0,8,241,0.482426,0.674221,79788
Number Tile Cottage Garden No,Number Tile Cottage Garden No,Product,1,52,3,0.444444,0.5,0,0,0,0.000166,4,2,190,0.000018,0,0
